fighter,fight_url,event_date,career_fights_before,career_wins,career_losses,career_title_bouts,current_win_streak,current_lose_streak,longest_win_streak,career_win_by_ko,career_win_by_sub,career_win_by_dec,avg_scorecard_margin,career_avg_kd,career_avg_sig_str_landed,career_avg_sig_str_att,career_avg_sig_str_pct,career_avg_total_str_landed,career_avg_total_str_att,career_avg_td_landed,career_avg_td_att,career_avg_td_pct,career_avg_sub_att,career_avg_reversals,career_avg_ctrl_seconds,career_avg_head_landed,career_avg_head_att,career_avg_body_landed,career_avg_body_att,career_avg_leg_landed,career_avg_leg_att,career_avg_distance_landed,career_avg_distance_att,career_avg_clinch_landed,career_avg_clinch_att,career_avg_ground_landed,career_avg_ground_att,weight_class,std_career_avg_kd,std_career_avg_sig_str_landed,std_career_avg_sig_str_att,std_career_avg_sig_str_pct,std_career_avg_total_str_landed,std_career_avg_total_str_att,std_career_avg_td_landed,std_career_avg_td_att,std_career_avg_td_pct,std_career_avg_sub_att,std_career_avg_reversals,std_career_avg_ctrl_seconds,std_career_avg_head_landed,std_career_avg_head_att,std_career_avg_body_landed,std_career_avg_body_att,std_career_avg_leg_landed,std_career_avg_leg_att,std_career_avg_distance_landed,std_career_avg_distance_att,std_career_avg_clinch_landed,std_career_avg_clinch_att,std_career_avg_ground_landed,std_career_avg_ground_att,career_style,height_cms,reach_cms,age,fighter_rank_wc,fighter_rank_pfp
Anthony Hamilton,http://www.ufcstats.com/fight-details/e508ba268cb295c0,2016-02-21,1,1,0,0,1,0,1,0,0,1,4.0,0.0,35.0,41.0,0.85,37.0,43.0,1.0,1.0,1.0,0.0,0.0,286.0,14.0,20.0,21.0,21.0,0.0,0.0,2.0,3.0,0.0,0.0,33.0,38.0,Heavyweight,,,,,,,,,,,,,,,,,,,,,,,,,Mixed,195.58,193.04,35.85,,
Anthony Hamilton,http://www.ufcstats.com/fight-details/8495283a56311b4d,2016-07-30,2,1,1,0,0,1,1,0,0,1,-0.5,0.0,23.5,33.0,0.665,24.5,34.5,0.5,1.5,0.5,0.0,0.0,143.0,10.5,19.5,13.0,13.5,0.0,0.0,3.5,8.0,3.5,6.0,16.5,19.0,Heavyweight,,,,,,,,,,,,,,,,,,,,,,,,,Mixed,195.58,193.04,36.29,,
Anthony Hamilton,http://www.ufcstats.com/fight-details/0769ab47fcf0bf6b,2016-12-09,3,2,1,0,1,0,1,1,0,1,-0.5,0.3333333333333333,18.666666666666668,27.333333333333332,0.63,20.0,29.0,0.3333333333333333,1.0,0.5,0.0,0.0,96.0,9.666666666666666,18.0,9.0,9.333333333333334,0.0,0.0,3.3333333333333335,7.333333333333333,4.333333333333333,7.333333333333333,11.0,12.666666666666666,Heavyweight,0.8450490264448556,0.5624380720467913,-0.41693595826758595,1.5990255421247994,-0.19901116708169297,-0.7647647483978874,-0.1434102031061539,0.13596769354257465,0.06355025058266128,-0.48785696079507734,-0.460251024178976,0.9417426213853602,-0.045598409687021405,-0.7169146041316168,3.3861632708991296,2.2826566831159907,-1.316201159237265,-1.3113601553723204,-1.348521251287971,-1.4218925622340688,1.0596066048268027,1.5072347790056204,2.882197877995292,1.9382670499284407,Wrestler,195.58,193.04,36.65,,
Anthony Hamilton,http://www.ufcstats.com/fight-details/49e344834626c144,2017-02-04,4,2,2,0,0,1,1,1,0,1,-0.5,0.25,14.0,21.25,0.47250000000000003,15.0,22.5,0.5,1.25,0.5,0.0,0.0,82.75,7.25,13.75,6.75,7.25,0.0,0.25,2.5,5.75,3.25,6.0,8.25,9.5,Heavyweight,0.43164757609640064,-0.3068877032367585,-0.9464718961872439,-0.25078795914990243,-0.8668938709188996,-1.2611368947079427,0.11396454604994075,0.37409004780673,0.06355025058266128,-0.48785696079507734,-0.460251024178976,0.6664241727452185,-0.6396105134487328,-1.1713168351038898,2.11189735250633,1.3686963000371977,-1.316201159237265,-1.2116440122805476,-1.5007150549284687,-1.549623454217938,0.481887461714659,1.0035546750077617,1.9404239154974259,1.2444009918248826,Wrestler,195.58,193.04,36.81,,
Anthony Hamilton,http://www.ufcstats.com/fight-details/7864fc46de247f58,2017-09-16,5,2,3,0,0,2,1,1,0,1,-0.5,0.2,14.0,24.4,0.45200000000000007,15.6,26.4,0.4,1.0,0.5,0.0,0.0,71.2,7.0,16.0,7.0,8.2,0.0,0.2,3.8,10.6,3.6,6.2,6.6,7.6,Heavyweight,0.18360670588732766,-0.3068877032367585,-0.6722738351822705,-0.49155733550629177,-0.7867479464584348,-0.9633136069219097,-0.04046030344371599,0.13596769354257465,0.06355025058266128,-0.48785696079507734,-0.460251024178976,0.42642960053437806,-0.7010600414240823,-0.9307509481185688,2.253482454549974,1.7854622347211269,-1.316201159237265,-1.2315872408989021,-1.2632927212492924,-1.1583635640357701,0.6685351848739671,1.0791066906074407,1.3753595379987058,0.8280813569627475,Wrestler,195.58,193.04,37.42,,
Anthony Hamilton,http://www.ufcstats.com/fight-details/51ec53f442d2cc9b,2017-11-18,6,2,4,0,0,3,1,1,0,1,-0.5,0.16666666666666666,11.666666666666666,20.5,0.3766666666666667,13.0,22.166666666666668,0.3333333333333333,0.8333333333333334,0.5,0.0,0.0,59.333333333333336,5.833333333333333,13.5,5.833333333333333,6.833333333333333,0.0,0.16666666666666666,3.1666666666666665,9.0,3.0,5.166666666666667,5.5,6.333333333333333,Heavyweight,0.01824612574794557,-0.7415505908785334,-1.0117571488074757,-1.3763358567509116,-1.1340469524537824,-1.2865918765699966,-0.1434102031061539,-0.022780542633528876,0.06355025058266128,-0.48785696079507734,-0.460251024178976,0.17985509055729512,-0.9878245053090465,-1.1980463781022588,1.5927519783463,1.185904223421439,-1.316201159237265,-1.244882726644472,-1.3789600120160705,-1.2874389917247326,0.34856765945801044,0.6887546100091003,0.998649952999559,0.5505349337213242,Wrestler,195.58,193.04,37.6,,
Anthony Hernandez,http://www.ufcstats.com/fight-details/ebb685a81f65ce1b,2019-02-02,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Middleweight,,,,,,,,,,,,,,,,,,,,,,,,,Mixed,182.88,190.5,25.29,13.0,
Anthony Hernandez,http://www.ufcstats.com/fight-details/8182dbc752c71137,2019-08-31,1,0,1,0,0,1,0,0,0,0,,0.0,17.0,35.0,0.48,21.0,39.0,0.0,0.0,,0.0,0.0,37.0,15.0,32.0,0.0,1.0,2.0,2.0,6.0,19.0,11.0,16.0,0.0,0.0,Middleweight,,,,,,,,,,,,,,,,,,,,,,,,,Mixed,182.88,190.5,25.87,13.0,
Anthony Hernandez,http://www.ufcstats.com/fight-details/51461da4ba467901,2020-05-16,2,1,1,0,1,0,1,0,1,0,,0.0,22.0,51.0,0.44,24.0,53.0,1.5,2.0,0.75,0.0,0.0,76.0,18.0,46.5,2.5,3.0,1.5,1.5,16.0,41.0,6.0,10.0,0.0,0.0,Middleweight,,,,,,,,,,,,,,,,,,,,,,,,,Mixed,182.88,190.5,26.58,15.0,
Anthony Hernandez,http://www.ufcstats.com/fight-details/96b1430379c0694a,2021-02-13,3,1,2,0,0,1,1,0,1,0,,0.0,14.666666666666666,35.0,0.29333333333333333,16.0,36.333333333333336,1.0,1.3333333333333333,0.75,0.0,0.0,50.666666666666664,12.0,32.0,1.6666666666666667,2.0,1.0,1.0,10.666666666666666,28.333333333333332,4.0,6.666666666666667,0.0,0.0,Middleweight,-0.8140362840259088,-0.10947305139761158,0.28625789894755593,-2.2041556458504985,-0.6803985891154567,-0.17155168717187694,1.2775970581846858,0.2168042491804179,0.9639419003920194,-0.6946047932411846,-0.440292769467851,0.0018274592831475061,0.5717858686809812,0.8176308443269359,-0.6760242065765132,-0.8590963580969889,-0.8053611099520473,-0.8758295117719921,-0.033864169914989584,0.24197716541120687,1.2715444872250237,1.8432243117907323,-0.9769562559095828,-0.9851580978566096,Striker,182.88,190.5,27.32,15.0,
