event_name,event_date,result_date,fighter_a,fighter_b,fighter,matchup,prop_type,prop_label,model_prob,market_implied_prob,market_edge,bet_size,won,total_return,net,profit_multiplier
UFC Fight Night: Allen vs. Costa,2026-05-16,2026-05-17,Tuco Tokkos,Ivan Erslan,Tuco Tokkos,Tuco Tokkos vs Ivan Erslan,fighter_a_ko,Tuco Tokkos wins by KO/TKO,0.2462,0.1,0.1462,1.71,0.0,0.0,-1.71,0.0
UFC Fight Night: Allen vs. Costa,2026-05-16,2026-05-17,Ketlen Vieira,Jacqueline Cavalcanti,Ketlen Vieira,Ketlen Vieira vs Jacqueline Cavalcanti,fighter_a_ko,Ketlen Vieira wins by KO/TKO,0.1546,0.0526,0.102,1.69,0.0,0.0,-1.69,0.0
UFC Fight Night: Allen vs. Costa,2026-05-16,2026-05-17,Ketlen Vieira,Jacqueline Cavalcanti,Ketlen Vieira,Ketlen Vieira vs Jacqueline Cavalcanti,fight_inside_distance,Fight Ends Inside Distance,0.4812,0.25,0.2312,1.58,0.0,0.0,-1.58,0.0
UFC Fight Night: Allen vs. Costa,2026-05-16,2026-05-17,Shauna Bannon,Nicolle Caliari,Nicolle Caliari,Shauna Bannon vs Nicolle Caliari,fighter_b_ko,Nicolle Caliari wins by KO/TKO,0.202,0.0909,0.1111,1.69,0.0,0.0,-1.69,0.0
UFC Fight Night: Song vs. Figueiredo,2026-05-30,2026-06-02,Sergei Pavlovich,Tallison Teixeira,Tallison Teixeira,Sergei Pavlovich vs Tallison Teixeira,fighter_b_ko,Tallison Teixeira wins by KO/TKO,0.2352,0.1176,0.1176,1.68,,1.68,0.0,1.0
UFC Fight Night: Song vs. Figueiredo,2026-05-30,2026-06-02,Sergei Pavlovich,Tallison Teixeira,Tallison Teixeira,Sergei Pavlovich vs Tallison Teixeira,fighter_b_dec,Tallison Teixeira wins by Decision,0.2259,0.0667,0.1592,1.74,,1.74,0.0,1.0
UFC Fight Night: Song vs. Figueiredo,2026-05-30,2026-06-02,Sergei Pavlovich,Tallison Teixeira,Sergei Pavlovich,Sergei Pavlovich vs Tallison Teixeira,fight_goes_distance,Fight Goes to Decision,0.4386,0.2083,0.2303,1.59,,1.59,0.0,1.0
UFC Fight Night: Song vs. Figueiredo,2026-05-30,2026-06-02,Loma Lookboonmee,Jaqueline Amorim,Jaqueline Amorim,Loma Lookboonmee vs Jaqueline Amorim,fighter_b_ko,Jaqueline Amorim wins by KO/TKO,0.2151,0.0952,0.1199,1.7,,1.7,0.0,1.0
UFC Fight Night: Muhammad vs. Bonfim,2026-06-06,2026-06-07,Matt Schnell,Alessandro Costa,Alessandro Costa,Matt Schnell vs Alessandro Costa,fighter_b_dec,Alessandro Costa wins by Decision,0.3111,0.1111,0.2,1.72,,1.72,0.0,1.0
UFC Fight Night: Muhammad vs. Bonfim,2026-06-06,2026-06-07,Matt Schnell,Alessandro Costa,Matt Schnell,Matt Schnell vs Alessandro Costa,fight_goes_distance,Fight Goes to Decision,0.5581,0.1961,0.362,1.64,,1.64,0.0,1.0
UFC Fight Night: Muhammad vs. Bonfim,2026-06-06,2026-06-07,Marcus McGhee,John Yannis,John Yannis,Marcus McGhee vs John Yannis,fighter_b_dec,John Yannis wins by Decision,0.263,0.1111,0.1519,1.71,,1.71,0.0,1.0
UFC Fight Night: Muhammad vs. Bonfim,2026-06-06,2026-06-07,Bruno Silva,Edgar Chairez,Edgar Chairez,Bruno Silva vs Edgar Chairez,fighter_b_dec,Edgar Chairez wins by Decision,0.4778,0.2041,0.2737,1.59,,1.59,0.0,1.0
UFC Freedom 250,2026-06-14,2026-06-15,Ilia Topuria,Justin Gaethje,Ilia Topuria,Ilia Topuria vs Justin Gaethje,fighter_a_dec,Ilia Topuria wins by Decision,0.361,0.0769,0.2841,1.72,,1.72,0.0,1.0
UFC Freedom 250,2026-06-14,2026-06-15,Ilia Topuria,Justin Gaethje,Ilia Topuria,Ilia Topuria vs Justin Gaethje,fight_goes_distance,Fight Goes to Decision,0.4964,0.1299,0.3665,1.61,,1.61,0.0,1.0
UFC Freedom 250,2026-06-14,2026-06-15,Josh Hokit,Derrick Lewis,Josh Hokit,Josh Hokit vs Derrick Lewis,fighter_a_dec,Josh Hokit wins by Decision,0.2457,0.1176,0.1281,1.69,,1.69,0.0,1.0
UFC Freedom 250,2026-06-14,2026-06-15,Josh Hokit,Derrick Lewis,Derrick Lewis,Josh Hokit vs Derrick Lewis,fighter_b_dec,Derrick Lewis wins by Decision,0.1765,0.0476,0.1289,1.73,,1.73,0.0,1.0
UFC Fight Night: Kape vs. Horiguchi,2026-06-20,2026-06-21,Andre Lima,Kevin Borjas,Kevin Borjas,Andre Lima vs Kevin Borjas,fighter_b_dec,Kevin Borjas wins by Decision,0.2881,0.0833,0.2048,1.75,,1.75,0.0,1.0
UFC Fight Night: Kape vs. Horiguchi,2026-06-20,2026-06-21,Bia Mesquita,Melissa Mullins,Melissa Mullins,Bia Mesquita vs Melissa Mullins,fighter_b_dec,Melissa Mullins wins by Decision,0.2328,0.1053,0.1275,1.7,,1.7,0.0,1.0
UFC Fight Night: Kape vs. Horiguchi,2026-06-20,2026-06-21,Karol Rosa,Luana Santos,Luana Santos,Karol Rosa vs Luana Santos,fighter_b_ko,Luana Santos wins by KO/TKO,0.1639,0.0385,0.1254,1.73,,1.73,0.0,1.0
UFC Fight Night: Kape vs. Horiguchi,2026-06-20,2026-06-21,Karol Rosa,Luana Santos,Karol Rosa,Karol Rosa vs Luana Santos,fight_inside_distance,Fight Ends Inside Distance,0.4851,0.2083,0.2768,1.59,,1.59,0.0,1.0
