matchup_id,name,fighter,opponent,weight_class,career_style,predicted_infight_style,style_shift_predicted,style_shift_probability,Odds,odds_numeric,implied_probability,predicted_probability,betting_edge,bet_size,prob_ko_tko,prob_submission,prob_decision,event_name,event_date,dk_link,dk_parlay_link,parlay_bet_size,parlay_combined_odds,won,potential_winnings,total_return,net,profit_multiplier,result_date
Movsar Evloev_vs_Lerone Murphy,Movsar Evloev,Movsar Evloev,Lerone Murphy,Featherweight,BJJ,Wrestler,False,0.5259,-250,-250.0,0.6804,0.6343,-0.0461,0.0,0.2807,0.2142,0.5051,UFC Fight Night: Evloev vs. Murphy,2026-03-21,,https://sportsbook.draftkings.com/event/33621617?outcomes=0ML83377242_3,0.0,,1,0.0,0.0,0.0,0.0,2026-03-22
Lerone Murphy_vs_Movsar Evloev,Lerone Murphy,Lerone Murphy,Movsar Evloev,Featherweight,Sniper,BJJ,False,0.5259,198,198.0,0.3196,0.3657,0.0461,2.55,0.2807,0.2142,0.5051,UFC Fight Night: Evloev vs. Murphy,2026-03-21,https://sportsbook.draftkings.com/event/33621617?outcomes=0ML83377242_3,https://sportsbook.draftkings.com/event/33621617?outcomes=0ML83377242_3,0.0,,0,0.0,0.0,-2.55,0.0,2026-03-22
Michael Page_vs_Sam Patterson,Michael Page,Michael Page,Sam Patterson,Welterweight,Mixed,BJJ,False,0.5259,-178,-178.0,0.6097,0.6237,0.0139,0.0,0.3525,0.1827,0.4648,UFC Fight Night: Evloev vs. Murphy,2026-03-21,,https://sportsbook.draftkings.com/event/33621617?outcomes=0ML83377242_3,0.0,,1,0.0,0.0,0.0,0.0,2026-03-22
Sam Patterson_vs_Michael Page,Sam Patterson,Sam Patterson,Michael Page,Welterweight,Mixed,BJJ,False,0.5259,144,144.0,0.3903,0.3763,-0.0139,0.0,0.3525,0.1827,0.4648,UFC Fight Night: Evloev vs. Murphy,2026-03-21,,https://sportsbook.draftkings.com/event/33621617?outcomes=0ML83377242_3,0.0,,0,0.0,0.0,0.0,0.0,2026-03-22
Roman Dolidze_vs_Christian Leroy Duncan,Roman Dolidze,Roman Dolidze,Christian Leroy Duncan,Middleweight,Striker,BJJ,False,0.5259,340,340.0,0.2161,0.2453,0.0292,0.0,0.4478,0.1392,0.413,UFC Fight Night: Evloev vs. Murphy,2026-03-21,,https://sportsbook.draftkings.com/event/33621617?outcomes=0ML83377242_3,0.0,,0,0.0,0.0,0.0,0.0,2026-03-22
Christian Leroy Duncan_vs_Roman Dolidze,Christian Leroy Duncan,Christian Leroy Duncan,Roman Dolidze,Middleweight,Sniper,BJJ,False,0.5259,-470,-470.0,0.7839,0.7547,-0.0292,0.0,0.4478,0.1392,0.413,UFC Fight Night: Evloev vs. Murphy,2026-03-21,,https://sportsbook.draftkings.com/event/33621617?outcomes=0ML83377242_3,0.0,,1,0.0,0.0,0.0,0.0,2026-03-22
